,x1,x2,x3,x4,x5,x6,y
325,52.45,52.365,52.075,52.13,51.965,52.03,52.1
326,52.365,52.075,52.13,51.965,52.03,52.1,51.47
327,52.075,52.13,51.965,52.03,52.1,51.47,51.07
328,52.13,51.965,52.03,52.1,51.47,51.07,51.417
329,51.965,52.03,52.1,51.47,51.07,51.417,51.22
330,52.03,52.1,51.47,51.07,51.417,51.22,51.725
331,52.1,51.47,51.07,51.417,51.22,51.725,51.755
332,51.47,51.07,51.417,51.22,51.725,51.755,52.175
333,51.07,51.417,51.22,51.725,51.755,52.175,52.59
334,51.417,51.22,51.725,51.755,52.175,52.59,53.23
335,51.22,51.725,51.755,52.175,52.59,53.23,53.71
336,51.725,51.755,52.175,52.59,53.23,53.71,53.65
337,51.755,52.175,52.59,53.23,53.71,53.65,52.48
338,52.175,52.59,53.23,53.71,53.65,52.48,52.79
339,52.59,53.23,53.71,53.65,52.48,52.79,52.88
340,53.23,53.71,53.65,52.48,52.79,52.88,52.505
341,53.71,53.65,52.48,52.79,52.88,52.505,52.74
342,53.65,52.48,52.79,52.88,52.505,52.74,52.78
343,52.48,52.79,52.88,52.505,52.74,52.78,52.815
344,52.79,52.88,52.505,52.74,52.78,52.815,53.03
345,52.88,52.505,52.74,52.78,52.815,53.03,52.885
346,52.505,52.74,52.78,52.815,53.03,52.885,53.005
347,52.74,52.78,52.815,53.03,52.885,53.005,53.26
348,52.78,52.815,53.03,52.885,53.005,53.26,53.195
349,52.815,53.03,52.885,53.005,53.26,53.195,53.1
350,53.03,52.885,53.005,53.26,53.195,53.1,53.02
351,52.885,53.005,53.26,53.195,53.1,53.02,52.872
352,53.005,53.26,53.195,53.1,53.02,52.872,52.682
353,53.26,53.195,53.1,53.02,52.872,52.682,52.402
354,53.195,53.1,53.02,52.872,52.682,52.402,51.647
355,53.1,53.02,52.872,52.682,52.402,51.647,51.87
356,53.02,52.872,52.682,52.402,51.647,51.87,51.49
357,52.872,52.682,52.402,51.647,51.87,51.49,51.437
358,52.682,52.402,51.647,51.87,51.49,51.437,51.34
359,52.402,51.647,51.87,51.49,51.437,51.34,50.78
360,51.647,51.87,51.49,51.437,51.34,50.78,50.31
361,51.87,51.49,51.437,51.34,50.78,50.31,50.3
362,51.49,51.437,51.34,50.78,50.31,50.3,50.42
363,51.437,51.34,50.78,50.31,50.3,50.42,49.965
364,51.34,50.78,50.31,50.3,50.42,49.965,50.01
365,50.78,50.31,50.3,50.42,49.965,50.01,50.0
366,50.31,50.3,50.42,49.965,50.01,50.0,49.425
367,50.3,50.42,49.965,50.01,50.0,49.425,49.36
368,50.42,49.965,50.01,50.0,49.425,49.36,49.615
369,49.965,50.01,50.0,49.425,49.36,49.615,49.51
370,50.01,50.0,49.425,49.36,49.615,49.51,49.135
371,50.0,49.425,49.36,49.615,49.51,49.135,49.03
372,49.425,49.36,49.615,49.51,49.135,49.03,48.605
373,49.36,49.615,49.51,49.135,49.03,48.605,49.07
374,49.615,49.51,49.135,49.03,48.605,49.07,49.215
375,49.51,49.135,49.03,48.605,49.07,49.215,49.155
376,49.135,49.03,48.605,49.07,49.215,49.155,49.5
377,49.03,48.605,49.07,49.215,49.155,49.5,49.36
378,48.605,49.07,49.215,49.155,49.5,49.36,49.2
379,49.07,49.215,49.155,49.5,49.36,49.2,49.375
380,49.215,49.155,49.5,49.36,49.2,49.375,49.295
381,49.155,49.5,49.36,49.2,49.375,49.295,49.3
382,49.5,49.36,49.2,49.375,49.295,49.3,49.335
383,49.36,49.2,49.375,49.295,49.3,49.335,49.22
384,49.2,49.375,49.295,49.3,49.335,49.22,49.315
385,49.375,49.295,49.3,49.335,49.22,49.315,49.23
386,49.295,49.3,49.335,49.22,49.315,49.23,49.205
387,49.3,49.335,49.22,49.315,49.23,49.205,49.01
388,49.335,49.22,49.315,49.23,49.205,49.01,49.23
389,49.22,49.315,49.23,49.205,49.01,49.23,49.08
390,49.315,49.23,49.205,49.01,49.23,49.08,49.015
391,49.23,49.205,49.01,49.23,49.08,49.015,49.185
392,49.205,49.01,49.23,49.08,49.015,49.185,49.522
393,49.01,49.23,49.08,49.015,49.185,49.522,49.84
394,49.23,49.08,49.015,49.185,49.522,49.84,50.37
395,49.08,49.015,49.185,49.522,49.84,50.37,50.29
396,49.015,49.185,49.522,49.84,50.37,50.29,50.05
397,49.185,49.522,49.84,50.37,50.29,50.05,49.73
398,49.522,49.84,50.37,50.29,50.05,49.73,49.985
399,49.84,50.37,50.29,50.05,49.73,49.985,49.93
400,50.37,50.29,50.05,49.73,49.985,49.93,49.925
401,50.29,50.05,49.73,49.985,49.93,49.925,50.39
402,50.05,49.73,49.985,49.93,49.925,50.39,50.185
403,49.73,49.985,49.93,49.925,50.39,50.185,50.245
404,49.985,49.93,49.925,50.39,50.185,50.245,50.405
405,49.93,49.925,50.39,50.185,50.245,50.405,50.675
406,49.925,50.39,50.185,50.245,50.405,50.675,51.175
407,50.39,50.185,50.245,50.405,50.675,51.175,51.18
408,50.185,50.245,50.405,50.675,51.175,51.18,51.032
409,50.245,50.405,50.675,51.175,51.18,51.032,50.685
410,50.405,50.675,51.175,51.18,51.032,50.685,50.79
411,50.675,51.175,51.18,51.032,50.685,50.79,51.405
412,51.175,51.18,51.032,50.685,50.79,51.405,50.85
413,51.18,51.032,50.685,50.79,51.405,50.85,50.88
414,51.032,50.685,50.79,51.405,50.85,50.88,50.82
415,50.685,50.79,51.405,50.85,50.88,50.82,51.12
416,50.79,51.405,50.85,50.88,50.82,51.12,51.115
417,51.405,50.85,50.88,50.82,51.12,51.115,51.155
418,50.85,50.88,50.82,51.12,51.115,51.155,51.155
419,50.88,50.82,51.12,51.115,51.155,51.155,51.49
420,50.82,51.12,51.115,51.155,51.155,51.49,51.435
421,51.12,51.115,51.155,51.155,51.49,51.435,51.21
422,51.115,51.155,51.155,51.49,51.435,51.21,51.54
423,51.155,51.155,51.49,51.435,51.21,51.54,51.685
424,51.155,51.49,51.435,51.21,51.54,51.685,51.48
425,51.49,51.435,51.21,51.54,51.685,51.48,51.805
426,51.435,51.21,51.54,51.685,51.48,51.805,52.145
427,51.21,51.54,51.685,51.48,51.805,52.145,52.09
428,51.54,51.685,51.48,51.805,52.145,52.09,52.51
429,51.685,51.48,51.805,52.145,52.09,52.51,52.685
430,51.48,51.805,52.145,52.09,52.51,52.685,52.55
431,51.805,52.145,52.09,52.51,52.685,52.55,52.355
432,52.145,52.09,52.51,52.685,52.55,52.355,52.525
433,52.09,52.51,52.685,52.55,52.355,52.525,52.735
434,52.51,52.685,52.55,52.355,52.525,52.735,52.6
435,52.685,52.55,52.355,52.525,52.735,52.6,52.965
436,52.55,52.355,52.525,52.735,52.6,52.965,53.415
437,52.355,52.525,52.735,52.6,52.965,53.415,53.425
438,52.525,52.735,52.6,52.965,53.415,53.425,52.91
439,52.735,52.6,52.965,53.415,53.425,52.91,53.125
440,52.6,52.965,53.415,53.425,52.91,53.125,53.83
441,52.965,53.415,53.425,52.91,53.125,53.83,53.225
442,53.415,53.425,52.91,53.125,53.83,53.225,53.665
443,53.425,52.91,53.125,53.83,53.225,53.665,53.965
444,52.91,53.125,53.83,53.225,53.665,53.965,53.795
445,53.125,53.83,53.225,53.665,53.965,53.795,54.5
446,53.83,53.225,53.665,53.965,53.795,54.5,54.475
447,53.225,53.665,53.965,53.795,54.5,54.475,54.46
448,53.665,53.965,53.795,54.5,54.475,54.46,55.035
449,53.965,53.795,54.5,54.475,54.46,55.035,55.395
450,53.795,54.5,54.475,54.46,55.035,55.395,56.0
451,54.5,54.475,54.46,55.035,55.395,56.0,55.655
452,54.475,54.46,55.035,55.395,56.0,55.655,55.295
453,54.46,55.035,55.395,56.0,55.655,55.295,55.19
454,55.035,55.395,56.0,55.655,55.295,55.19,55.675
455,55.395,56.0,55.655,55.295,55.19,55.675,56.235
456,56.0,55.655,55.295,55.19,55.675,56.235,56.085
457,55.655,55.295,55.19,55.675,56.235,56.085,55.505
458,55.295,55.19,55.675,56.235,56.085,55.505,55.655
459,55.19,55.675,56.235,56.085,55.505,55.655,55.645
460,55.675,56.235,56.085,55.505,55.655,55.645,55.37
461,56.235,56.085,55.505,55.655,55.645,55.37,54.945
462,56.085,55.505,55.655,55.645,55.37,54.945,55.13
